Company,Sector,Industry,Country,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,datetime extracted
Intel Corporation,Technology,Semiconductors,USA,DJIA S&P500,9.79,5.17,0.05%,4.27B,-15.68%,211.13B,10.39,1.21%,-6.12%,4.23B,-14.38%,22.74B,1.08,1.11,67.70%,0.79%,-14.63%,75.73B,2.79,6.60%,-0.09%,1.46,-26.11%,17.90,2.83,16.60%,63.19,-3.01%,4.98,10.15,9.07%,30.00%,43.63 - 69.29,-15.47%,1.32,16.74,15.20%,17.80%,-26.99%,0.78,2.61%,1.30,5.20%,59.50%,15.95%,2.12,110800,1.70,23.50%,32.90%,24.25,3.23% 2.55%,Yes,0.52,50.80%,30.00%,7.88,60.40,Yes,0.48,Jul 23 AMC,24.40%,23.04M,50.59,2.70,-14.65%,-16.28%,-13.64%,"181,634,258",-16.24%,2020-07-25 16:25:46.619279
"Intercontinental Exchange, Inc.",Financial,Financial Data & Stock Exchanges,USA,S&P 500,25.74,3.74,0.50%,552.00M,2.65%,51.89B,21.10,3.33%,-17.22%,539.18M,6.18%,2.10B,2.94,1.03,91.70%,0.86%,8.32%,5.49B,9.45,0.20%,-0.07%,1.68,-0.81%,30.69,3.14,2.00%,105.76,7.51%,1.08,89.00,8.76%,12.30%,63.51 - 101.93,4.07%,1.20,29.60,15.20%,8.60%,-5.50%,0.53,1.25%,1.00,11.00%,-,51.66%,1.71,6293,1.00,22.80%,52.60%,61.49,1.48% 1.91%,Yes,0.49,37.90%,38.20%,1.17,95.85,Yes,0.31,Jul 30 BMO,29.80%,2.74M,96.32,1.70,3.64%,2.46%,4.95%,"3,212,857",0.49%,2020-07-25 16:25:46.619279
International Business Machines Corporation,Technology,Information Technology Services,USA,DJIA S&P500,12.25,10.27,0.10%,887.97M,0.54%,110.71B,10.19,10.96%,-0.53%,886.86M,8.05%,9.17B,3.12,2.08,58.90%,2.73%,0.86%,76.54B,1.45,-8.60%,-0.14%,4.61,-10.51%,22.52,5.59,5.90%,127.29,-16.36%,13.48,9.33,3.92%,47.20%,90.56 - 158.75,-6.15%,6.52,17.40,-7.20%,11.40%,-20.76%,1.22,5.18%,0.90,-3.60%,47.50%,38.90%,2.98,352600,1.00,-3.40%,10.80%,56.22,2.60% 2.24%,Yes,3.22,-23.70%,11.80%,0.67,127.33,Yes,2.63,Jul 20 AMC,63.70%,5.26M,125.79,2.70,3.75%,2.69%,-2.46%,"3,528,463",-1.21%,2020-07-25 16:25:46.619279
International Paper Company,Consumer Cyclical,Packaging & Containers,USA,S&P 500,21.84,1.66,0.30%,392.60M,-1.63%,14.46B,15.96,7.61%,-2.49%,392.06M,8.16%,661.00M,-,0.38,83.90%,3.21%,16.67%,22.09B,0.65,-21.80%,-0.07%,4.22,-16.56%,17.47,2.08,2.00%,37.69,-21.03%,3.11,11.67,0.00%,9.00%,26.38 - 47.64,-21.13%,2.05,9.96,18.40%,8.60%,-23.76%,1.35,5.64%,0.60,-1.10%,31.80%,37.68%,1.02,51000,0.80,-5.20%,7.50%,53.89,1.95% 2.81%,Yes,1.49,-134.20%,3.00%,0.46,36.63,Yes,1.39,Jul 30 BMO,121.20%,2.98M,36.32,2.90,2.61%,3.76%,-6.36%,"1,370,165",-0.85%,2020-07-25 16:25:46.619279
"The Interpublic Group of Companies, Inc.",Communication Services,Advertising Agencies,USA,S&P 500,10.89,1.70,0.50%,387.70M,3.06%,7.31B,11.24,22.49%,-12.15%,386.88M,12.83%,668.70M,27.23,0.20,-,4.75%,25.85%,10.22B,0.72,5.40%,-0.10%,3.94,-20.76%,6.53,2.84,4.00%,18.28,-19.42%,3.94,4.70,0.40%,26.20%,11.63 - 25.20,-19.70%,1.02,9.58,8.40%,13.70%,-26.39%,1.06,5.50%,1.00,6.30%,14.40%,59.50%,0.67,54300,1.00,-0.10%,10.30%,59.96,3.26% 3.48%,Yes,1.67,157.70%,6.50%,0.99,18.46,Yes,1.35,Jul 29 BMO,55.50%,4.66M,18.55,2.70,7.22%,7.09%,-5.60%,"4,615,654",0.49%,2020-07-25 16:25:46.619279
International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals,USA,S&P 500,30.71,4.13,0.30%,112.08M,-3.18%,13.41B,19.99,9.59%,-,106.59M,3.89%,468.30M,16.16,1.31,99.60%,12.90%,0.26%,5.19B,2.58,-3.90%,0.43%,15.06,-6.61%,52.00,2.44,3.60%,135.03,-12.86%,4.10,30.95,1.90%,7.70%,92.14 - 147.20,-1.71%,3.00,106.25,-4.60%,5.40%,-13.85%,1.06,2.37%,1.20,10.70%,41.40%,37.64%,3.31,13600,2.00,3.80%,13.40%,47.14,2.37% 2.45%,Yes,0.74,13.90%,9.00%,0.86,128.49,Yes,0.68,May 11 AMC,70.80%,912.63K,126.82,2.70,0.71%,-1.39%,0.27%,"781,359",-1.30%,2020-07-25 16:25:46.619279
Intuit Inc.,Technology,Software - Application,USA,S&P 500,57.03,5.06,0.20%,261.00M,-0.20%,74.35B,35.44,14.86%,-3.87%,251.65M,0.89%,1.34B,5.62,1.04,89.50%,0.95%,9.49%,6.86B,10.84,18.40%,0.03%,1.91,0.21%,18.16,15.90,19.90%,303.81,2.51%,15.42,18.72,10.15%,33.70%,187.68 - 314.73,10.21%,2.12,52.92,15.00%,36.60%,-8.28%,1.01,0.73%,1.80,9.80%,80.50%,53.82%,7.68,9400,1.80,-8.30%,22.50%,45.78,2.38% 2.55%,Yes,0.08,-21.30%,19.50%,0.95,291.55,Yes,0.01,May 21 AMC,39.00%,1.25M,288.68,2.10,-2.85%,-0.80%,6.39%,"1,188,816",-0.98%,2020-07-25 16:25:46.619279
"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,USA,S&P 500,58.23,11.60,0.60%,116.40M,3.78%,73.13B,51.49,50.72%,-17.98%,115.36M,21.69%,1.39B,18.49,0.63,90.20%,2.10%,31.15%,4.60B,15.88,21.50%,0.22%,3.67,14.62%,73.08,9.24,14.90%,556.43,27.02%,30.04,22.48,3.15%,17.40%,360.50 - 699.72,14.24%,-,60.85,25.50%,15.20%,-3.49%,0.92,-,4.30,16.00%,69.00%,87.33%,20.87,7326,5.00,12.90%,30.50%,71.16,4.09% 3.07%,Yes,0.00,2.10%,30.10%,1.20,686.55,Yes,0.00,Jul 21 AMC,0.00%,660.71K,675.33,2.40,12.66%,16.72%,21.64%,"790,326",-1.63%,2020-07-25 16:25:46.619279
Invesco Ltd.,Financial,Asset Management,USA,S&P 500,10.24,1.02,0.90%,455.70M,-0.48%,4.90B,6.06,5.00%,0.30%,375.68M,-2.61%,468.50M,-,0.44,87.90%,11.00%,33.85%,6.50B,0.75,-41.00%,1.12%,5.07,-42.54%,20.82,0.50,1.20%,9.86,-46.54%,2.00,5.21,-10.14%,4.80%,6.38 - 20.33,-41.94%,0.62,10.21,-10.80%,3.20%,-48.65%,1.48,5.94%,-,3.50%,68.60%,63.76%,0.47,8757,-,31.60%,14.20%,51.46,3.73% 4.22%,Yes,0.92,-59.80%,7.20%,0.51,10.68,Yes,0.92,Jul 28 BMO,120.60%,8.16M,10.44,3.10,-0.79%,7.00%,-22.33%,"4,149,016",-2.25%,2020-07-25 16:25:46.619279
IPG Photonics Corporation,Technology,Semiconductor Equipment & Materials,USA,S&P 500,58.35,3.00,14.70%,53.08M,-0.36%,9.03B,38.57,49.90%,-2.04%,35.32M,11.50%,161.50M,4.29,0.58,67.80%,3.71%,44.99%,1.25B,7.23,-56.00%,-0.21%,3.48,21.45%,44.37,3.95,5.90%,163.50,24.20%,23.19,7.56,13.60%,6.80%,98.04 - 184.02,20.96%,-,41.39,-2.50%,6.80%,-4.74%,1.70,-,7.70,11.30%,44.90%,78.79%,5.36,5960,9.60,-20.90%,16.80%,61.51,2.93% 3.20%,Yes,0.02,-33.80%,12.90%,1.02,178.74,Yes,0.02,May 05 BMO,0.00%,376.80K,175.29,2.40,5.66%,8.71%,25.10%,"383,655",-1.93%,2020-07-25 16:25:46.619279
IQVIA Holdings Inc.,Healthcare,Diagnostics & Research,USA,S&P 500,145.38,1.09,0.40%,191.60M,2.49%,29.29B,21.77,23.50%,-84.23%,185.88M,15.69%,215.00M,16.28,1.06,93.20%,1.58%,22.52%,11.16B,2.63,-11.10%,0.50%,2.38,-0.14%,28.92,5.46,0.90%,158.28,-1.38%,5.34,29.59,8.93%,3.60%,81.79 - 169.14,2.18%,-,33.10,-18.80%,3.60%,-6.66%,1.31,-,1.10,15.20%,33.90%,93.03%,4.54,67000,1.10,2.60%,6.60%,62.12,2.66% 2.72%,Yes,2.18,45.70%,1.90%,0.87,161.48,Yes,2.16,Jul 22 BMO,0.00%,1.23M,157.88,1.80,7.52%,9.38%,11.22%,"1,068,851",-2.23%,2020-07-25 16:25:46.619279
Iron Mountain Incorporated,Real Estate,REIT - Specialty,USA,S&P 500,25.99,1.05,1.00%,287.84M,-0.11%,7.87B,23.18,38.40%,-3.05%,283.67M,8.83%,301.70M,3.25,0.13,87.10%,20.89%,15.77%,4.28B,1.84,-27.30%,0.33%,16.48,-13.66%,3.90,6.98,2.20%,27.86,-9.41%,0.53,51.51,8.00%,21.00%,21.00 - 34.49,-14.53%,2.47,-,-9.70%,7.10%,-21.02%,0.70,9.07%,0.80,6.50%,57.10%,29.71%,0.66,26750,0.80,1.40%,17.80%,56.63,1.97% 2.20%,Yes,7.92,115.60%,7.10%,0.33,27.51,Yes,7.80,Aug 06 BMO,234.00%,3.60M,27.24,2.60,2.67%,3.23%,-6.62%,"1,169,224",-0.98%,2020-07-25 16:25:46.619279
"Jack Henry & Associates, Inc.",Technology,Information Technology Services,USA,S&P 500,46.67,3.85,0.50%,76.68M,-1.10%,13.55B,44.27,5.73%,-7.07%,76.01M,-0.06%,296.30M,3.89,0.78,92.90%,2.28%,12.87%,1.68B,8.07,5.60%,0.83%,3.11,18.74%,19.74,9.10,13.40%,171.33,30.14%,1.45,123.74,12.00%,20.10%,123.64 - 195.03,23.29%,1.72,45.44,10.00%,19.00%,-7.92%,0.59,0.96%,1.60,5.80%,40.90%,45.25%,4.07,6402,1.60,12.90%,22.80%,47.30,2.03% 2.23%,Yes,0.04,25.30%,17.60%,0.38,181.77,Yes,0.04,May 04 AMC,42.30%,557.12K,179.59,3.00,-1.11%,-1.00%,11.76%,"213,392",-1.20%,2020-07-25 16:25:46.619279
Jacobs Engineering Group Inc.,Industrials,Engineering & Construction,USA,S&P 500,55.85,1.50,0.30%,132.53M,0.50%,10.80B,14.41,17.54%,-3.78%,128.97M,1.28%,205.10M,5.37,0.99,91.40%,1.64%,4.93%,13.35B,0.81,26.30%,-0.03%,2.33,-13.46%,41.97,2.00,6.90%,100.46,-0.66%,12.87,6.52,10.40%,14.20%,59.29 - 104.00,-6.56%,0.76,-,-1.10%,5.70%,-19.28%,0.94,0.91%,2.00,0.10%,19.40%,41.58%,1.95,48000,2.00,-44.50%,3.80%,53.06,1.50% 2.33%,Yes,0.56,-171.40%,6.20%,0.62,84.64,Yes,0.56,Aug 03 BMO,11.40%,911.51K,83.94,1.60,1.51%,1.85%,-4.08%,"564,429",-0.83%,2020-07-25 16:25:46.619279
"J.B. Hunt Transport Services, Inc.",Industrials,Integrated Freight & Logistics,USA,S&P 500,28.64,4.57,2.70%,105.99M,-4.41%,13.36B,22.72,29.44%,-8.75%,83.50M,11.75%,489.60M,2.84,1.13,77.10%,3.68%,28.73%,9.24B,1.45,6.80%,0.22%,3.66,13.03%,21.54,6.07,9.50%,113.63,28.05%,0.47,275.52,10.09%,23.30%,75.29 - 138.76,12.00%,1.08,100.93,8.50%,16.00%,-5.75%,1.01,0.83%,-,8.30%,17.70%,73.71%,3.44,29056,1.50,9.20%,7.90%,58.96,2.45% 2.61%,Yes,0.00,-10.10%,5.60%,1.09,131.47,Yes,0.57,Jul 16 AMC,21.60%,839.91K,130.79,2.60,3.70%,10.23%,18.41%,"912,186",-0.52%,2020-07-25 16:25:46.619279
The J. M. Smucker Company,Consumer Defensive,Packaged Foods,USA,S&P 500,15.83,6.83,0.20%,113.70M,1.34%,12.27B,12.92,2.25%,-5.44%,109.17M,1.79%,775.10M,-,1.68,81.70%,7.07%,-8.20%,7.80B,1.57,51.00%,0.16%,7.32,0.44%,72.04,1.50,4.60%,111.46,-4.34%,3.45,31.36,-0.17%,9.60%,91.88 - 125.62,3.85%,3.52,20.84,15.50%,7.10%,-13.91%,0.13,3.26%,0.70,6.50%,38.50%,17.70%,2.17,7300,1.20,10.00%,15.70%,54.45,2.13% 1.98%,Yes,0.69,214.50%,9.90%,0.52,108.42,Yes,0.66,Jun 04 BMO,51.10%,1.05M,108.14,3.30,2.33%,-0.20%,-0.05%,"551,299",-0.26%,2020-07-25 16:25:46.619279
Johnson & Johnson,Healthcare,Drug Manufacturers - General,USA,DJIA S&P500,26.05,5.69,0.10%,2.63B,-0.82%,389.97B,16.37,15.56%,-3.55%,2.63B,5.94%,15.19B,5.22,1.95,70.80%,0.49%,-4.35%,80.50B,4.84,0.50%,-0.03%,1.74,-0.13%,23.27,6.37,9.70%,164.24,12.97%,6.85,21.64,4.99%,25.20%,109.16 - 157.00,1.54%,4.04,38.99,-0.20%,17.30%,-5.66%,0.70,2.73%,1.00,2.00%,65.70%,35.69%,2.47,132200,1.30,3.30%,21.50%,58.84,1.59% 1.65%,Yes,0.45,56.20%,18.80%,0.73,149.61,Yes,0.41,Jul 16 BMO,65.70%,7.36M,148.12,1.90,2.46%,1.94%,4.56%,"5,357,058",-1.00%,2020-07-25 16:25:46.619279
Johnson Controls International plc,Industrials,Engineering & Construction,Ireland,S&P 500,25.88,1.42,0.20%,754.80M,-2.31%,27.01B,16.79,13.46%,-8.56%,742.20M,10.54%,1.13B,2.98,0.48,92.60%,1.72%,31.85%,23.75B,1.14,-8.60%,0.02%,2.24,-11.00%,23.96,1.54,12.30%,36.33,-10.51%,-,-,8.69%,26.70%,22.77 - 44.82,-9.60%,1.04,-,-6.90%,5.90%,-17.89%,1.09,2.83%,0.80,18.30%,32.50%,61.58%,0.92,104000,1.00,-5.80%,5.10%,61.54,2.04% 2.30%,Yes,0.39,6.20%,21.80%,0.64,37.35,Yes,0.31,Jul 31 BMO,17.10%,5.71M,36.80,2.30,4.91%,9.58%,0.77%,"3,661,451",-1.47%,2020-07-25 16:25:46.619279
JPMorgan Chase & Co.,Financial,Banks - Diversified,USA,DJIA S&P500,13.24,7.42,0.10%,3.10B,0.12%,305.11B,11.25,52.57%,-0.49%,3.02B,3.82%,23.39B,-,1.82,73.90%,0.66%,8.35%,76.32B,4.00,20.40%,-0.06%,0.85,-26.19%,74.68,1.32,1.20%,112.72,-15.06%,393.91,0.25,-1.38%,14.80%,76.91 - 141.10,-29.50%,3.60,-,15.20%,8.30%,-30.35%,1.18,3.66%,-,10.30%,-,27.79%,2.80,256720,-,-10.40%,67.70%,51.54,1.92% 2.73%,Yes,1.29,-70.40%,45.40%,0.54,98.98,Yes,1.29,Jul 14 BMO,30.70%,23.60M,98.28,2.30,2.38%,1.17%,-13.37%,"12,684,932",-0.71%,2020-07-25 16:25:46.619279
"Juniper Networks, Inc.",Technology,Communication Equipment,USA,S&P 500,25.19,0.97,0.20%,330.80M,2.99%,7.90B,13.67,16.30%,-7.74%,327.26M,9.38%,334.30M,-,0.34,94.20%,4.69%,5.11%,4.44B,1.78,-38.40%,0.69%,4.18,-0.41%,13.27,1.84,3.80%,24.21,-7.52%,5.95,4.11,-1.18%,7.30%,15.20 - 27.39,-0.61%,0.80,28.35,27.40%,5.70%,-10.62%,0.95,3.27%,1.90,-0.80%,58.80%,61.05%,0.51,9419,1.90,-0.40%,9.50%,64.61,1.80% 2.00%,Yes,0.00,-31.00%,7.50%,0.83,24.50,Yes,0.39,Jul 28 AMC,78.10%,3.67M,24.48,2.90,6.24%,4.27%,4.87%,"3,032,015",-0.08%,2020-07-25 16:25:46.619279
Kansas City Southern,Industrials,Railroads,USA,S&P 500,25.94,5.96,0.50%,94.48M,-3.49%,14.53B,19.24,22.60%,-3.16%,94.38M,8.50%,587.70M,2.93,1.67,96.10%,1.66%,17.72%,2.92B,4.97,-8.90%,2.16%,1.37,-7.13%,46.73,3.31,5.80%,156.94,25.45%,6.60,23.43,8.84%,12.50%,92.86 - 178.59,1.01%,1.60,17.65,3.50%,8.30%,-13.38%,0.93,1.03%,2.20,2.10%,70.00%,66.59%,4.33,7040,2.40,-23.30%,33.80%,54.46,2.20% 2.81%,Yes,0.86,-9.50%,19.50%,0.53,155.13,Yes,0.85,Jul 17 BMO,26.60%,1.14M,154.70,2.40,2.87%,3.78%,4.92%,"609,251",-0.28%,2020-07-25 16:25:46.619279
Kellogg Company,Consumer Defensive,Packaged Foods,USA,S&P 500,22.93,3.00,0.10%,342.00M,0.07%,23.40B,17.65,2.29%,-77.64%,340.27M,5.86%,1.03B,12.50,0.93,87.10%,3.54%,7.15%,13.47B,1.74,-26.50%,-0.12%,5.44,-0.95%,7.82,8.78,5.70%,67.94,17.66%,2.98,23.03,1.84%,38.00%,52.66 - 71.05,-0.69%,2.28,133.72,9.80%,10.10%,-3.34%,0.58,3.32%,0.60,-1.40%,31.60%,30.42%,1.27,31000,0.80,-3.10%,11.00%,60.24,1.67% 1.89%,Yes,3.16,22.70%,7.60%,0.55,68.41,Yes,2.68,Jul 30 BMO,75.50%,2.22M,68.68,2.70,2.77%,4.48%,5.65%,"1,216,983",0.39%,2020-07-25 16:25:46.619279
KeyCorp,Financial,Banks - Regional,USA,S&P 500,9.07,1.35,0.40%,975.41M,4.79%,12.25B,9.23,88.49%,2.72%,969.68M,-1.92%,1.34B,-,0.08,82.20%,2.00%,12.39%,5.18B,2.36,-5.50%,0.04%,1.55,-36.50%,16.03,0.76,0.90%,13.45,-32.40%,2.34,5.24,-,8.90%,7.45 - 20.52,-39.48%,0.74,9.65,9.00%,11.40%,-40.32%,1.53,6.04%,-,15.40%,-,64.43%,0.56,17045,-,-4.10%,61.20%,51.57,3.96% 4.59%,Yes,0.89,-68.20%,26.10%,0.66,12.41,Yes,0.89,Jul 22 BMO,52.80%,12.51M,12.25,2.50,3.60%,0.66%,-20.27%,"8,277,973",-1.29%,2020-07-25 16:25:46.619279
"Keysight Technologies, Inc.",Technology,Scientific & Technical Instruments,USA,S&P 500,31.58,3.07,0.40%,187.00M,-0.95%,17.86B,19.20,23.42%,-14.00%,186.25M,-4.33%,585.00M,4.58,0.84,90.40%,5.06%,-0.71%,4.20B,4.25,276.40%,-0.19%,5.06,-5.95%,16.50,5.87,8.90%,117.09,6.72%,9.99,9.70,6.90%,19.40%,77.93 - 110.00,-5.63%,-,19.47,6.70%,12.90%,-11.95%,1.07,-,2.70,8.00%,59.10%,24.28%,2.56,13700,3.50,-17.90%,16.90%,43.97,2.05% 2.36%,Yes,0.00,-51.50%,14.00%,0.48,99.18,Yes,0.58,May 26 AMC,0.00%,1.86M,96.85,1.90,-1.73%,-3.77%,-1.77%,"889,005",-2.35%,2020-07-25 16:25:46.619279
Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,USA,S&P 500,21.52,6.85,0.10%,341.40M,2.06%,49.94B,18.97,2.87%,-19.30%,339.38M,6.84%,2.36B,3.82,1.80,74.10%,1.77%,4.01%,18.83B,2.65,42.90%,-0.16%,3.65,2.73%,-0.49,-,15.40%,148.91,8.83%,2.89,51.01,5.64%,-,110.66 - 149.36,7.12%,4.28,109.03,9.80%,30.60%,-1.35%,0.49,2.90%,0.60,-1.30%,35.90%,33.15%,2.49,40000,0.90,8.10%,17.00%,65.09,1.88% 1.64%,Yes,-,46.20%,12.60%,1.06,147.33,Yes,-,Jul 23 BMO,59.80%,1.65M,147.34,2.50,3.35%,4.84%,7.07%,"1,753,560",0.01%,2020-07-25 16:25:46.619279
Kimco Realty Corporation,Real Estate,REIT - Retail,USA,S&P 500,14.28,0.75,2.70%,429.74M,-7.49%,4.74B,18.19,6.49%,0.06%,420.64M,-16.08%,319.40M,3.10,0.09,95.20%,3.70%,25.00%,1.15B,4.11,-21.60%,-0.04%,2.00,-47.17%,11.19,0.96,2.90%,13.25,-42.33%,1.03,10.49,4.60%,6.40%,7.45 - 21.86,-48.09%,-,39.98,1.00%,3.90%,-50.82%,1.17,-,-,3.10%,70.60%,44.30%,0.53,502,-,-1.80%,34.60%,35.59,3.91% 3.99%,Yes,1.19,-19.60%,27.70%,0.73,11.09,Yes,1.19,Aug 07 BMO,148.30%,7.81M,10.75,2.80,-10.90%,-12.64%,-32.74%,"5,727,673",-3.07%,2020-07-25 16:25:46.619279
"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,USA,S&P 500,24.53,0.58,11.20%,2.26B,-4.49%,32.38B,15.59,16.28%,0.42%,1.95B,-3.78%,1.32B,54.87,0.17,63.90%,1.17%,-2.53%,12.89B,2.51,44.70%,-0.07%,1.66,-33.91%,14.62,0.97,1.70%,17.85,-30.76%,0.16,89.94,0.45%,3.90%,9.42 - 22.58,-32.69%,1.05,56.51,1.30%,5.80%,-36.89%,1.01,7.37%,0.50,-4.00%,56.60%,51.27%,0.51,11086,0.60,-9.40%,30.20%,41.88,2.93% 3.09%,Yes,1.06,-155.80%,10.20%,0.89,14.49,Yes,0.95,Jul 22 AMC,172.10%,13.73M,14.25,2.30,-3.19%,-7.22%,-20.09%,"12,287,502",-1.66%,2020-07-25 16:25:46.619279
KLA Corporation,Technology,Semiconductor Equipment & Materials,USA,S&P 500,29.35,6.41,0.20%,156.07M,-4.56%,29.01B,18.50,2.05%,-16.28%,154.66M,-0.22%,1.02B,2.29,2.40,92.50%,2.20%,14.12%,5.61B,5.18,-2.80%,-0.09%,2.48,4.91%,14.78,12.73,11.30%,184.29,34.72%,10.60,17.75,12.79%,39.80%,110.19 - 209.30,5.64%,3.40,29.79,16.30%,20.50%,-10.08%,1.34,1.81%,1.80,9.30%,56.80%,70.80%,6.38,10020,2.60,29.80%,23.10%,41.41,3.27% 2.95%,Yes,1.49,-59.30%,18.30%,1.81,203.92,Yes,1.49,Aug 03 AMC,49.50%,1.37M,188.21,2.40,-5.44%,-0.47%,11.01%,"2,476,469",-7.70%,2020-07-25 16:25:46.619279
Kohl's Corporation,Consumer Cyclical,Department Stores,USA,S&P 500,42.06,0.50,0.90%,157.74M,-5.35%,3.40B,13.04,144.60%,1.94%,156.01M,1.07%,88.00M,-,-1.08,98.40%,13.37%,32.03%,18.32B,0.19,-9.90%,-0.58%,1.88,-54.14%,31.10,0.67,0.60%,21.09,-59.18%,12.51,1.67,-7.63%,1.70%,10.89 - 59.28,-59.06%,-,9.14,0.60%,10.20%,-64.81%,1.78,-,0.80,1.00%,38.20%,91.55%,1.42,37000,1.90,-40.60%,1.50%,47.46,6.23% 6.26%,Yes,1.03,-,0.50%,0.81,22.06,Yes,1.00,May 19 BMO,530.10%,11.09M,20.86,2.90,-0.90%,-1.75%,-39.50%,"8,972,219",-5.44%,2020-07-25 16:25:46.619279
The Kraft Heinz Company,Consumer Defensive,Packaged Foods,USA,S&P 500,22.23,1.56,0.60%,1.22B,-0.94%,41.64B,14.69,0.17%,0.00%,316.99M,7.94%,1.91B,-,0.65,-,4.65%,18.65%,25.18B,1.65,119.10%,0.20%,2.34,14.04%,41.74,0.83,1.90%,31.89,9.92%,4.50,7.71,-3.82%,3.70%,19.99 - 35.19,7.94%,1.60,48.58,99.90%,2.90%,-1.45%,1.03,4.61%,1.10,18.00%,31.90%,73.49%,0.80,37000,1.50,3.30%,13.00%,63.24,2.28% 2.27%,Yes,0.64,-6.70%,7.60%,0.69,34.86,Yes,0.62,Jul 30 BMO,102.40%,6.29M,34.68,2.90,5.71%,8.54%,17.04%,"4,331,222",-0.52%,2020-07-25 16:25:46.619279
The Kroger Co.,Consumer Defensive,Grocery Stores,USA,S&P 500,13.21,2.63,0.70%,780.00M,2.54%,26.91B,13.48,-9.14%,-6.61%,772.59M,5.76%,2.07B,2.13,0.50,81.70%,7.10%,5.31%,126.58B,0.21,-45.80%,0.01%,5.06,23.13%,11.99,2.89,4.60%,35.77,64.19%,3.52,9.87,6.19%,23.30%,20.78 - 36.84,19.73%,0.72,8.37,3.20%,8.60%,-5.78%,0.37,2.07%,0.40,2.40%,22.80%,67.04%,0.83,435000,0.80,11.50%,2.10%,59.09,2.09% 2.29%,Yes,1.44,62.10%,1.60%,0.46,35.13,Yes,1.32,Jun 18 BMO,23.60%,10.85M,34.71,2.40,2.90%,5.19%,16.17%,"5,019,908",-1.20%,2020-07-25 16:25:46.619279
"L Brands, Inc.",Consumer Cyclical,Apparel Retail,USA,S&P 500,-,-2.54,0.30%,277.00M,3.73%,5.32B,12.46,741.70%,0.08%,228.28M,38.46%,-703.00M,-,-0.70,82.70%,9.31%,86.13%,11.94B,0.45,-157.50%,0.60%,2.56,-7.47%,-6.72,-,-6.90%,16.50,-26.78%,3.45,5.56,-2.86%,50.80%,8.00 - 26.63,5.91%,-,21.71,-18.90%,-0.10%,-27.94%,1.29,-,0.50,2.40%,34.90%,139.88%,0.88,25500,1.10,-37.10%,-2.40%,68.05,4.45% 5.13%,Yes,-,-845.20%,-5.90%,0.50,19.36,Yes,-,May 20 AMC,-,8.32M,19.19,2.80,16.25%,21.45%,12.60%,"4,135,011",-0.88%,2020-07-25 16:25:46.619279
"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,USA,S&P 500,24.94,6.87,0.20%,217.30M,0.75%,36.33B,13.40,12.80%,-33.38%,214.83M,1.78%,1.31B,1.89,2.62,87.30%,1.04%,-9.80%,15.75B,2.31,-53.40%,0.18%,1.36,-23.20%,100.77,1.70,4.20%,240.00,-14.67%,3.13,54.79,13.23%,7.40%,142.01 - 230.99,-13.46%,3.40,-,6.60%,2.70%,-25.87%,0.72,1.99%,1.20,19.00%,28.60%,20.58%,5.18,50000,1.40,167.70%,8.50%,47.88,2.59% 2.75%,Yes,0.33,-50.60%,8.30%,0.77,172.67,Yes,0.29,Jul 31 BMO,43.60%,1.65M,171.24,1.70,1.73%,-5.47%,-12.27%,"1,265,189",-0.83%,2020-07-25 16:25:46.619279
Laboratory Corporation of America Holdings,Healthcare,Diagnostics & Research,USA,S&P 500,61.17,3.25,0.50%,97.20M,2.63%,19.00B,14.39,28.21%,-11.47%,96.58M,26.51%,321.00M,7.94,0.89,93.60%,1.76%,21.39%,11.59B,1.64,-7.70%,-0.82%,1.81,12.17%,72.22,2.75,-,210.43,15.70%,3.39,58.71,7.70%,-,98.02 - 201.88,17.48%,-,-,7.10%,7.50%,-1.56%,1.40,-,1.10,14.00%,27.50%,102.75%,4.96,65000,1.20,1.20%,-,75.50,2.01% 2.53%,Yes,0.90,-274.90%,-,0.86,198.76,Yes,0.84,Jul 28 BMO,-,936.11K,198.74,2.00,10.88%,14.09%,19.00%,"809,567",-0.01%,2020-07-25 16:25:46.619279
